width,length,type,region,model,height-min,height-max,stories,shape,library,tags
9.0,6.0,residential,,objects/Blacky75/New-Black/RES_09x06_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
9.0,7.0,residential,,objects/Blacky75/New-Black/RES_09x07_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
9.0,7.0,residential,,objects/Blacky75/New-Black/RES_09x07_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
9.0,7.0,residential,,objects/Blacky75/New-Black/RES_09x07_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
9.0,7.0,residential,,objects/Blacky75/New-Black/RES_09x07_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
9.0,8.0,residential,,objects/Blacky75/New-Black/RES_09x08_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
9.0,8.0,residential,,objects/Blacky75/New-Black/RES_09x08_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
9.0,8.0,residential,,objects/Blacky75/New-Black/RES_09x08_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
9.0,8.0,residential,,objects/Blacky75/New-Black/RES_09x08_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
9.0,9.0,residential,,objects/Blacky75/New-Black/RES_09x09_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
9.0,9.0,residential,,objects/Blacky75/New-Black/RES_09x09_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
9.0,9.0,residential,,objects/Blacky75/New-Black/RES_09x09_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
9.0,9.0,residential,,objects/Blacky75/New-Black/RES_09x09_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
10.0,6.0,residential,,objects/Blacky75/New-Black/RES_10x06_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
10.0,6.0,residential,,objects/Blacky75/New-Black/RES_10x06_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
10.0,6.0,residential,,objects/Blacky75/New-Black/RES_10x06_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
10.0,6.0,residential,,objects/Blacky75/New-Black/RES_10x06_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
10.0,7.0,residential,,objects/Blacky75/New-Black/RES_10x07_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
10.0,7.0,residential,,objects/Blacky75/New-Black/RES_10x07_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
10.0,7.0,residential,,objects/Blacky75/New-Black/RES_10x07_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
10.0,7.0,residential,,objects/Blacky75/New-Black/RES_10x07_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
10.0,8.0,residential,,objects/Blacky75/New-Black/RES_10x08_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
10.0,8.0,residential,,objects/Blacky75/New-Black/RES_10x08_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
10.0,8.0,residential,,objects/Blacky75/New-Black/RES_10x08_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
10.0,8.0,residential,,objects/Blacky75/New-Black/RES_10x08_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
10.0,9.0,residential,,objects/Blacky75/New-Black/RES_10x09_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
10.0,9.0,residential,,objects/Blacky75/New-Black/RES_10x09_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
10.0,9.0,residential,,objects/Blacky75/New-Black/RES_10x09_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
10.0,9.0,residential,,objects/Blacky75/New-Black/RES_10x09_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
10.0,10.0,residential,,objects/Blacky75/New-Black/RES_10x10_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
10.0,10.0,residential,,objects/Blacky75/New-Black/RES_10x10_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
10.0,10.0,residential,,objects/Blacky75/New-Black/RES_10x10_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
10.0,10.0,residential,,objects/Blacky75/New-Black/RES_10x10_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
11.0,6.0,residential,,objects/Blacky75/New-Black/RES_11x06_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
11.0,6.0,residential,,objects/Blacky75/New-Black/RES_11x06_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
11.0,6.0,residential,,objects/Blacky75/New-Black/RES_11x06_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
11.0,6.0,residential,,objects/Blacky75/New-Black/RES_11x06_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
11.0,7.0,residential,,objects/Blacky75/New-Black/RES_11x07_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
11.0,7.0,residential,,objects/Blacky75/New-Black/RES_11x07_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
11.0,7.0,residential,,objects/Blacky75/New-Black/RES_11x07_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
11.0,7.0,residential,,objects/Blacky75/New-Black/RES_11x07_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
11.0,8.0,residential,,objects/Blacky75/New-Black/RES_11x08_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
11.0,8.0,residential,,objects/Blacky75/New-Black/RES_11x08_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
11.0,8.0,residential,,objects/Blacky75/New-Black/RES_11x08_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
11.0,8.0,residential,,objects/Blacky75/New-Black/RES_11x08_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
11.0,9.0,residential,,objects/Blacky75/New-Black/RES_11x09_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
11.0,9.0,residential,,objects/Blacky75/New-Black/RES_11x09_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
11.0,9.0,residential,,objects/Blacky75/New-Black/RES_11x09_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
11.0,9.0,residential,,objects/Blacky75/New-Black/RES_11x09_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
11.0,10.0,residential,,objects/Blacky75/New-Black/RES_11x10_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
11.0,10.0,residential,,objects/Blacky75/New-Black/RES_11x10_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
11.0,10.0,residential,,objects/Blacky75/New-Black/RES_11x10_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
11.0,10.0,residential,,objects/Blacky75/New-Black/RES_11x10_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
11.0,11.0,residential,,objects/Blacky75/New-Black/RES_11x11_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
11.0,11.0,residential,,objects/Blacky75/New-Black/RES_11x11_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
11.0,11.0,residential,,objects/Blacky75/New-Black/RES_11x11_TypeNew_RoofBlack-3.obj,,,2,SQ,Blacky75,black;new
11.0,11.0,residential,,objects/Blacky75/New-Black/RES_11x11_TypeNew_RoofBlack-4.obj,,,2,SQ,Blacky75,black;new
12.0,06.0,residential,,objects/Blacky75/New-Black/RES_12x06_TypeNew_RoofBlack-1.obj,,,2,SQ,Blacky75,black;new
12.0,06.0,residential,,objects/Blacky75/New-Black/RES_12x06_TypeNew_RoofBlack-2.obj,,,2,SQ,Blacky75,black;new
