width,length,type,region,model,height-min,height-max,stories,shape,tags
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W1R1.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W1R2.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W1R3.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W1R4.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W2R1.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W2R2.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W2R3.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W2R4.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W3R1.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W3R2.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W3R3.obj,,,,,Blacky75
12.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_12x12_T1W3R4.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W1R1.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W1R2.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W1R3.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W1R4.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W2R1.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W2R2.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W2R3.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W2R4.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W3R1.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W3R2.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W3R3.obj,,,,,Blacky75
14.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_14x12_T1W3R4.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W1R1.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W1R2.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W1R3.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W1R4.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W2R1.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W2R2.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W2R3.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W2R4.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W3R1.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W3R2.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W3R3.obj,,,,,Blacky75
16.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_16x12_T1W3R4.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W1R1.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W1R2.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W1R3.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W1R4.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W2R1.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W2R2.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W2R3.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W2R4.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W3R1.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W3R2.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W3R3.obj,,,,,Blacky75
18.0,12.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x12_T1W3R4.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W1R1.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W1R2.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W1R3.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W1R4.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W2R1.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W2R2.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W2R3.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W2R4.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W3R1.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W3R2.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W3R3.obj,,,,,Blacky75
18.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_18x14_T1W3R4.obj,,,,,Blacky75
20.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_20x14_T1W1R1.obj,,,,,Blacky75
20.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_20x14_T1W1R2.obj,,,,,Blacky75
20.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_20x14_T1W1R3.obj,,,,,Blacky75
20.0,14.0,agriculture,,objects/Blacky75/Frm-Bld/FARM_20x14_T1W1R4.obj,,,,,Blacky75
