width,length,type,region,model,height-min,height-max,stories,shape,library,tags
11.0,11.0,residential,,objects/Blacky75/New-Red/RES_11x11_TypeNew_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
11.0,11.0,residential,,objects/Blacky75/New-Red/RES_11x11_TypeNew_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
11.0,11.0,residential,,objects/Blacky75/New-Red/RES_11x11_TypeNew_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
12.0,06.0,residential,,objects/Blacky75/New-Red/RES_12x06_TypeNew_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
12.0,06.0,residential,,objects/Blacky75/New-Red/RES_12x06_TypeNew_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
12.0,06.0,residential,,objects/Blacky75/New-Red/RES_12x06_TypeNew_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
12.0,06.0,residential,,objects/Blacky75/New-Red/RES_12x06_TypeNew_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
12.0,07.0,residential,,objects/Blacky75/New-Red/RES_12x07_TypeNew_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
12.0,07.0,residential,,objects/Blacky75/New-Red/RES_12x07_TypeNew_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
12.0,07.0,residential,,objects/Blacky75/New-Red/RES_12x07_TypeNew_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
12.0,07.0,residential,,objects/Blacky75/New-Red/RES_12x07_TypeNew_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
12.0,08.0,residential,,objects/Blacky75/New-Red/RES_12x08_TypeNew_RoofRed-1.obj,,,2,SQ,Blacky75,red;new
12.0,08.0,residential,,objects/Blacky75/New-Red/RES_12x08_TypeNew_RoofRed-2.obj,,,2,SQ,Blacky75,red;new
12.0,08.0,residential,,objects/Blacky75/New-Red/RES_12x08_TypeNew_RoofRed-3.obj,,,2,SQ,Blacky75,red;new
12.0,08.0,residential,,objects/Blacky75/New-Red/RES_12x08_TypeNew_RoofRed-4.obj,,,2,SQ,Blacky75,red;new
12.0,06.0,residential,,objects/Blacky75/New-Red/RES_12x06_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
12.0,06.0,residential,,objects/Blacky75/New-Red/RES_12x06_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
12.0,06.0,residential,,objects/Blacky75/New-Red/RES_12x06_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
12.0,06.0,residential,,objects/Blacky75/New-Red/RES_12x06_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
13.0,06.0,residential,,objects/Blacky75/New-Red/RES_13x06_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
13.0,06.0,residential,,objects/Blacky75/New-Red/RES_13x06_RoofRed_Type2.obj,,,2,SQ,Blacky75,red;new
13.0,06.0,residential,,objects/Blacky75/New-Red/RES_13x06_RoofRed_Type3.obj,,,2,SQ,Blacky75,red;new
13.0,06.0,residential,,objects/Blacky75/New-Red/RES_13x06_RoofRed_Type4.obj,,,2,SQ,Blacky75,red;new
14.0,06.0,residential,,objects/Blacky75/New-Red/RES_14x06_RoofRed_Type1.obj,,,2,SQ,Blacky75,red;new
