"width","length","type","region","model","height-min","height-max","stories"
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16d.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16e.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16f.obj",,,
13.00.00,16.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-Soliter_13x16g.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26a.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26b.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26c.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26d.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26e.obj",,,
13.00.00,26.00.00,"residential","CE","R2_Library/budovy/viladomy/vila-2x_13x26f.obj",,,
13.05.00,12.05.00,"residential","CE","objects/houses/EU/R_13.5x12.5_PL.obj",,,
13.06.00,09.00.00,"residential","CE","objects/houses/EU/R_13.6x9.0_DE_1.obj",,,
13.06.00,09.00.00,"residential","CE","objects/houses/EU/R_13.6x9.0_DE_2.obj",,,
14.00.00,13.00.00,"residential","CE","objects/houses/EU/R_14.00x13.00_PL.obj",,,
15.00.00,10.00.00,"residential","CE","lib/g_buildings/mfh_15x10.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x15a.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x15b.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x15c.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD_12x15d.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x15a.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x15b.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x15c.obj",,,
15.00.00,15.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x15d.obj",,,
15.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x20a.obj",,,
15.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x20b.obj",,,
15.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x20c.obj",,,
15.00.00,20.00.00,"residential","CE","R2_Library/budovy/domky/RD/RD-L_15x20d.obj",,,
15.03.00,13.00.00,"residential","CE","objects/houses/EU/R_15x13_PL_1.obj",,,
15.03.00,13.00.00,"residential","CE","objects/houses/EU/R_15x13_PL_2.obj",,,
17.00.00,12.00.00,"residential","CE","objects/houses/EU/R_17.0x12.0_PL.obj",,,
17.00.00,14.00.00,"residential","CE","objects/houses/EU/R_17.00x13.60_PL.obj",,,
18.00.00,20.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panC1_10p.obj",,,10
18.00.00,20.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panC1_12p.obj",,,12
18.00.00,20.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panC1_14p.obj",,,14
18.00.00,20.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panC1_8p.obj",,,8
18.00.00,30.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panZ1_10p.obj",,,10
18.00.00,30.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panZ1_12p.obj",,,12
18.00.00,30.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panZ1_14p.obj",,,14
18.00.00,30.00.00,"residential","CE","R2_Library/budovy/bytove/panel_central/panZ1_8p.obj",,,8
19.00.00,19.00.00,"residential","CE","lib/g_buildings/mfh_19x19.obj",,,
20.00.00,10.00.00,"residential","CE","lib/g_buildings/mfh_20x10.obj",,,
28.00.00,13.00.00,"residential","CE","lib/g_buildings/erl_generic_apartmentblock_30a.obj",,,
04.16.00,08.35.00,"residential","GB","objects/houses/EU/GB/R_3.76x7.95_UK_1.obj",,,
04.16.00,08.35.00,"residential","GB","objects/houses/EU/GB/R_3.76x7.95_UK_2.obj",,,
30.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.apartmentblock.30.obj",,,
30.00.00,14.00.00,"residential","CE","lib/g_buildings/nbg.generic.apartmentblock.30a.obj",,,
36.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnblock2.obj",,,
36.00.00,15.05.00,"residential","CE","lib/g_buildings/wohnblock_six_storey_brown_blue.obj",,,6
04.00.00,07.00.00,"residential","GB","objects/houses/EU/GB/R_4.5x8.0_UK_1.obj",,,
04.00.00,07.00.00,"residential","GB","objects/houses/EU/GB/R_4.5x8.0_UK_2.obj",,,
04.00.00,07.00.00,"residential","GB","objects/houses/EU/GB/R_4.5x8.0_UK_3.obj",,,
04.00.00,07.00.00,"residential","GB","objects/houses/EU/GB/R_4.5x8.0_UK_4.obj",,,
05.09.00,10.22.00,"residential","GB","objects/houses/EU/GB/R_4.96x9.82_UK_1.obj",,,
05.09.00,10.22.00,"residential","GB","objects/houses/EU/GB/R_4.96x9.82_UK_2.obj",,,
42.00.00,15.00.00,"residential","CE","lib/g_buildings/wohnblock_seven_storey_brown_blue.obj",,,7
42.00.00,16.00.00,"residential","CE","lib/g_buildings/wohnblock_fifteen_storey_white.obj",,,15
42.00.00,16.00.00,"residential","CE","lib/g_buildings/wohnblock_ten_storey_brown.obj",,,10
44.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnblock.three.storey.brown.obj",,,
44.00.00,13.00.00,"residential","CE","lib/g_buildings/wohnblock1.obj",,,
47.00.00,12.05.00,"residential","CE","lib/g_buildings/wohnhaus.drei.beige.obj",,,3
47.00.00,12.05.00,"residential","CE","lib/g_buildings/wohnhaus.drei.gruen.obj",,,3
47.00.00,12.05.00,"residential","CE","lib/g_buildings/wohnhaus.drei.rot.obj",,,3
05.00.00,12.00.00,"residential","GB","objects/houses/EU/GB/R_5.0x12.0_UK_1.obj",,,
05.00.00,12.00.00,"residential","GB","objects/houses/EU/GB/R_5.0x12.0_UK_2.obj",,,
